"Cartec België B.V. Tulpenstraat 15 Bus 6
9810 Nazareth-Eke BELGIUM
Tél: +32 000000000
info@cartec.be www.cartec.be";;;;;;;;;;;;
"L’as du détail
Attn: Alessandro Spoto Rue de prâle 139
4300 Waremme BELGIUM";;;;;;;;;;;;
DEVIS;;;;;;;;;;;;
"Numéro d'offre:                Q2612628
Code client:                       2608
Numéro de téléphone:    0489403404
Envoyer email:                 asdudetail@gmail.com
Date de l'offre:                 29-04-2026
Méthode d'envoi:             per pakketdienst A payer:                             per bank Personne à contacter:    Sébastien Marcq";;;"Adresse de livraison:
L’as du détail Rue de prâle 139 4300 Waremme BELGIUM";;;;;;;;;
Numéro d'article;Description;Emballage;;Quantité;Prix;Remise;Net (p/u);Sous-total;Restant ;Vendu ;Black;Facture
12122/5;Splash Shampoo (New) 5ltr;;;2;€ 28,26;10,00 %;€ 25,43;€ 50,87;2;;;
RC21/10;Royal Shield 10ltr;;;1;€ 144,25;10,00 %;€ 129,83;€ 129,83;1;;;
1205/5;Interior Cleaner 5ltr;;;1;€ 28,32;10,00 %;€ 25,49;€ 25,49;1;;;
1204/5;Textile Cleaner 5ltr;;;1;€ 33,01;10,00 %;€ 29,71;€ 29,71;1;;;
3317/50;Aqua Drying Towel XL 50x80;Stuk (1);;3;€ 20,95;10,00 %;€ 18,86;€ 56,57;0;3;3;
3051/1;Emmer Cartec;;;1;€ 4,58;10,00 %;€ 4,12;€ 4,12;1;;;
CGCW/030;Ceramic Wash 300ml;ST (1);;6;€ 6,40;10,00 %;€ 5,76;€ 34,56;6;;;
3039/13;Cartec Detailing Brush Gentle;Stuk (1);;3;€ 7,61;10,00 %;€ 6,85;€ 20,55;3;;;
3039/12;Cartec Detailing Brush Allround;Stuk (1);;3;€ 7,61;10,00 %;€ 6,85;€ 20,55;3;;;
3039/3;"Autowasborstel (Kort
+ Blauw haar)";;;2;€ 6,63;10,00 %;€ 5,97;€ 11,93;2;;;
3039/2;Velgenborstel (Lang + Blauw haar);;;3;€ 8,24;10,00 %;€ 7,42;€ 22,25;3;;;
3050/08;MC Velgenborstel;;;2;€ 15,69;10,00 %;€ 14,12;€ 28,24;2;;;
3039/11;Cartec Slim Microfiber Wheel Brush;Stuk (1);;2;€ 19,89;10,00 %;€ 17,90;€ 35,80;2;;;
3317/49;Aqua Drying Towel M 40x40;Stuk (1);;9;€ 12,08;10,00 %;€ 10,87;€ 97,85;9;;;
3112/10;Pressurepump Cartec 2ltr EPDM (Alkaline);;;2;€ 23,85;10,00 %;€ 21,47;€ 42,93;2;;;
3317/52;Microfiber Towel Crystal Glass Max;VP (5);;1;€ 18,90;10,00 %;€ 17,01;€ 17,01;1;;;
3039/10;Cartec Detailing kwast set 3 st.;;;3;€ 10,22;10,00 %;€ 9,20;€ 27,59;2;1;1;
1309/003;Carfum Golden Sunset 30ml;VP (6);;1;€ 15,44;10,00 %;€ 13,90;€ 13,90;1;;;
1306/003;Carfum Midnight Blue 30ml;VP (6);;1;€ 15,44;10,00 %;€ 13,90;€ 13,90;1;;;
1208/5;Cherry Wash 5ltr;;;3;€ 23,93;10,00 %;€ 21,54;€ 64,61;1;2;2;
3215/4;Microvezelspons dubbelzijdig (ruw textuur / ultra zacht);;;1;€ 4,74;10,00 %;€ 4,27;€ 4,27;1;;;
3040/525652;Vikan Velgenborstel Soft Groot 425mm;;;1;€ 20,17;10,00 %;€ 18,15;€ 18,15;1;;;
12201/5;Wheel Cleaner 5ltr;;;2;€ 34,74;10,00 %;€ 31,27;€ 62,53;0;2;1;1
1804/5;Iron Wash 5ltr;;;3;€ 52,00;10,00 %;€ 46,80;€ 140,40;2;1;1;
1103/5;Dash Fresh 5ltr;;;2;€ 59,24;10,00 %;€ 53,32;€ 106,63;2;;;
12101/5;Glass Cleaner XL 5ltr;;;3;€ 24,51;10,00 %;€ 22,06;€ 66,18;2;1;1;
1206/5;Insect Cleaner 5ltr;;;1;€ 36,68;10,00 %;€ 33,01;€ 33,01;0;1;;1
1203/5;All Purpose Cleaner 5ltr;;;1;€ 28,32;10,00 %;€ 25,49;€ 25,49;1;;;
3038/01;Cartec Cartec Soft Interior Brush;Stuk (1);;2;€ 4,99;10,00 %;€ 4,49;€ 8,98;1;1;1;
3020/01;Maatbeker 1ltr;;;1;€ 4,20;10,00 %;€ 3,78;€ 3,78;1;;;
3019/1;Aftapkraan Groot 20/25ltr 1st;Stuk (10);;1;€ 45,53;10,00 %;€ 40,98;€ 40,98;1;;;
3019/2;Aftapkraan Klein 10ltr 1st;Stuk (1);;2;€ 6,07;10,00 %;€ 5,46;€ 10,93;1;1;1;
3020/02;Maatbeker 2ltr;;;2;€ 8,56;10,00 %;€ 7,70;€ 15,41;2;;;
3038/03;Cartec All-in-One Scrub Pad;Stuk (10);;1;€ 30,24;10,00 %;€ 27,22;€ 27,22;1;;;
1202/5;Floor Cleaner 5ltr;;;1;€ 28,26;10,00 %;€ 25,43;€ 25,43;1;;;
12101/10;Glass Cleaner XL 10ltr;;;1;€ 41,53;10,00 %;€ 37,38;€ 37,38;1;;;
12122/10;Splash Shampoo (New) 10ltr;;;1;€ 45,69;10,00 %;€ 41,12;€ 41,12;1;;;
RC021/10;Royal Forte 10,7kg;;;1;€ 37,67;10,00 %;€ 33,90;€ 33,90;0;1;1;
11281/1;Textile Protector 1ltr;ST (1);;1;€ 34,65;10,00 %;€ 31,19;€ 31,19;1;;;
ESL05/05;Fallout Remover 500ml with sprayer;Stuk (1);;4;€ 10,59;10,00 %;€ 9,53;€ 38,12;1;3;2;1
ESL07/05;Wash & Wax Shampoo 500ml;Stuk (1);;2;€ 8,10;10,00 %;€ 7,29;€ 14,58;1;1;1;
ESL01/05;Wheel Wash 500ml with sprayer;Stuk (1);;2;€ 9,35;10,00 %;€ 8,42;€ 16,83;1;1;1;
ESL15/05;Pre Wash 500ml With Sprayer;Stuk (1);;4;€ 8,90;10,00 %;€ 8,01;€ 32,04;1;3;2;1
ESL02/05;Engine Wash 500ml with sprayer;Stuk (1);;4;€ 9,35;10,00 %;€ 8,42;€ 33,66;2;2;1;1
ESL03/05;Insect Remover 500ml with sprayer;Stuk (1);;5;€ 8,10;10,00 %;€ 7,29;€ 36,45;3;2;;2
ESL09/05;Interior Multi Cleaner 500ml with sprayer;Stuk (1);;3;€ 8,10;10,00 %;€ 7,29;€ 21,87;2;1;;1
ESL14/05;Quick Spray Wax 500ml with sprayer;Stuk (1);;3;€ 9,96;10,00 %;€ 8,96;€ 26,89;0;3;2;1
ESL18/05;Interior Touch 500ml;Stuk (1);;2;€ 8,89;10,00 %;€ 8,00;€ 16,00;2;;;
ESL12/05;Bumper & Tyre Care 500ml;Stuk (1);;3;€ 11,21;10,00 %;€ 10,09;€ 30,27;2;1;;1
ESL16/05;Neutral Wash Shampoo 500ml;Stuk (1);;2;€ 7,11;10,00 %;€ 6,40;€ 12,80;1;1;;1
ESL08/05;Glass Clean & Shine 500ml with sprayer;Stuk (1);;4;€ 8,10;10,00 %;€ 7,29;€ 29,16;4;;;
ESL11/05;Leather Cream 500ml;Stuk (1);;3;€ 12,46;10,00 %;€ 11,21;€ 33,64;2;1;1;
ESL15/5;Pre Wash 5ltr;Stuk (1);;1;€ 39,23;10,00 %;€ 35,31;€ 35,31;1;;;
3051/14;Cartec Deksel voor emmer 20ltr;;;1;€ 9,35;10,00 %;€ 8,42;€ 8,42;1;;;
3051/15;Cartec Dirt Sieve Pro;;;1;€ 9,09;10,00 %;€ 8,18;€ 8,18;1;;;
3051/13;Cartec Emmer Zwart Transparant 20ltr;;;1;€ 11,55;10,00 %;€ 10,40;€ 10,40;1;;;
11211/1;Leather Care 1ltr;Stuk (1);;1;€ 21,26;;€ 21,26;€ 21,26;1;;;
1011/5;Fast Glaze 5ltr;;;2;€ 55,31;10,00 %;€ 49,78;€ 99,56;2;;;
3051/13;Cartec Emmer Zwart Transparant 20ltr;;;3;€ 11,55;10,00 %;€ 10,40;€ 31,19;3;;;
3051/15;Cartec Dirt Sieve Pro;;;2;€ 9,09;10,00 %;€ 8,18;€ 16,36;2;;;
